"INDICADORES DO PROJETO: CIDADES E COMUNIDADES SUSTENTÁVEIS NO SEMIÁRIDO PARAIBANO - PATOS, POMBAL, SOUSA, CAJAZEIRAS E MONTE HOREBE.
",,,,,,
Meta ODS 11,,,,,,
"QNT: Percentual de domicílios com saneamento básico adequado (água, esgoto e coleta de lixo).",,,,,,
Município,Ano,Coleta de esgoto (%),Abastecimento de água (%),Coleta de resíduos sólidos (%),,
Monte Horebe,2017,4.825,"319.471,71",0,"319.471,71","66,21"
Monte Horebe,2018,4.789,"84.712,29",0,"84.712,29","17,69"
Monte Horebe,2019,4.816,"221.987,45",0,"221.987,45","46,09"
Monte Horebe,2020,4.842,"759.649,79",0,"759.649,79","156,88"
Monte Horebe,2021,4.867,"397.000,50",0,"397.000,50","81,56"
Monte Horebe,2022,4.338,"971.028,66",0,"971.028,66","223,84"
Monte Horebe,2023,4.338,"785.152,82",0,"785.152,82","180,99"
,,,,,,
QLT: Existência de programas de regularização fundiária ou melhoria habitacional.,,,,,,
Patos,Sim,https://patos.pb.gov.br/noticias/prefeitura-de-patos-a16393.html,,https://camarapatos.pb.gov.br/informativos/noticias/reurb-camara-aprova-a1339.html,,
Pombal,Sim,https://www.pombal.pb.gov.br/decreto-2-298-2022/,,https://www.pombal.pb.gov.br/portaria-108-2024/,,
Sousa,Sim,https://www.sousa.pb.gov.br/p.php?id=2100,,https://www.sousa.pb.gov.br/p.php?id=2488,,
Cajazeiras,Sim,https://www.cajazeiras.pb.gov.br/leis.php?id=402,,https://www.cajazeiras.pb.gov.br/informa?id=2851,,
Monte Horebe,Não,,,,,
